Single-Level_Breite_Wigner
Temp do meio:       +1.500000000000000e+03[K]
Massa do isotopo:   +2.360050000000000e+02

ene_val                 sig_val[radiation_xs]           psi                     x                   smr*gg                  chi1          
+9.068000000000023e+00 +7.831159558220081e-01 +5.377481480694734e-04 -4.379704627092698e+01 +1.238700435301205e+03 +2.938564564512569e-01 
+9.070000000000023e+00 +7.860390070953276e-01 +5.401612912254852e-04 -4.370044757131294e+01 +1.238562548685286e+03 +2.938242110771268e-01 
+9.072000000000024e+00 +7.889814531978659e-01 +5.425905882053239e-04 -4.360384897624540e+01 +1.238424707671378e+03 +2.937919763667372e-01 
+9.074000000000025e+00 +7.919434670840294e-01 +5.450361838215980e-04 -4.350725048570651e+01 +1.238286912234350e+03 +2.937597523142119e-01 
+9.076000000000025e+00 +7.949252237078787e-01 +5.474982245629861e-04 -4.341065209967842e+01 +1.238149162349094e+03 +2.937275389136791e-01 
+9.078000000000026e+00 +7.979269000531304e-01 +5.499768586193530e-04 -4.331405381814324e+01 +1.238011457990518e+03 +2.936953361592717e-01 
+9.080000000000027e+00 +8.009486751637269e-01 +5.524722359073370e-04 -4.321745564108313e+01 +1.237873799133551e+03 +2.936631440451268e-01 
+9.082000000000027e+00 +8.039907301749909e-01 +5.549845080964360e-04 -4.312085756848027e+01 +1.237736185753141e+03 +2.936309625653861e-01 
+9.084000000000028e+00 +8.070532483454272e-01 +5.575138286356190e-04 -4.302425960031680e+01 +1.237598617824255e+03 +2.935987917141962e-01 
+9.086000000000029e+00 +8.101364150891208e-01 +5.600603527804478e-04 -4.292766173657493e+01 +1.237461095321879e+03 +2.935666314857077e-01 
+9.088000000000029e+00 +8.132404180088371e-01 +5.626242376207753e-04 -4.283106397723681e+01 +1.237323618221020e+03 +2.935344818740759e-01 
+9.090000000000030e+00 +8.163654469297245e-01 +5.652056421089598e-04 -4.273446632228465e+01 +1.237186186496703e+03 +2.935023428734608e-01 
+9.092000000000031e+00 +8.195116939337304e-01 +5.678047270886541e-04 -4.263786877170064e+01 +1.237048800123971e+03 +2.934702144780266e-01 
+9.094000000000031e+00 +8.226793533947057e-01 +5.704216553241927e-04 -4.254127132546700e+01 +1.236911459077889e+03 +2.934380966819420e-01 
+9.096000000000032e+00 +8.258686220142334e-01 +5.730565915305642e-04 -4.244467398356593e+01 +1.236774163333539e+03 +2.934059894793806e-01 
+9.098000000000033e+00 +8.290796988582074e-01 +5.757097024040225e-04 -4.234807674597967e+01 +1.236636912866023e+03 +2.933738928645199e-01 
+9.100000000000033e+00 +8.323127853940873e-01 +5.783811566532530e-04 -4.225147961269042e+01 +1.236499707650461e+03 +2.933418068315424e-01 
+9.102000000000034e+00 +8.355680855290508e-01 +5.810711250312927e-04 -4.215488258368045e+01 +1.236362547661995e+03 +2.933097313746347e-01 
+9.104000000000035e+00 +8.388458056488186e-01 +5.837797803680109e-04 -4.205828565893201e+01 +1.236225432875783e+03 +2.932776664879879e-01 
+9.106000000000035e+00 +8.421461546573633e-01 +5.865072976033316e-04 -4.196168883842732e+01 +1.236088363267004e+03 +2.932456121657979e-01 
+9.108000000000036e+00 +8.454693440174683e-01 +5.892538538211492e-04 -4.186509212214867e+01 +1.235951338810854e+03 +2.932135684022647e-01 
+9.110000000000037e+00 +8.488155877920496e-01 +5.920196282838998e-04 -4.176849551007833e+01 +1.235814359482552e+03 +2.931815351915929e-01 
+9.112000000000037e+00 +8.521851026864766e-01 +5.948048024679587e-04 -4.167189900219856e+01 +1.235677425257332e+03 +2.931495125279916e-01 
+9.114000000000038e+00 +8.555781080917095e-01 +5.976095600997137e-04 -4.157530259849167e+01 +1.235540536110449e+03 +2.931175004056741e-01 
+9.116000000000039e+00 +8.589948261284253e-01 +6.004340871924692e-04 -4.147870629893995e+01 +1.235403692017176e+03 +2.930854988188586e-01 
+9.118000000000039e+00 +8.624354816920435e-01 +6.032785720840970e-04 -4.138211010352568e+01 +1.235266892952806e+03 +2.930535077617674e-01 
+9.120000000000040e+00 +8.659003024987758e-01 +6.061432054755465e-04 -4.128551401223118e+01 +1.235130138892650e+03 +2.930215272286273e-01 
+9.122000000000041e+00 +8.693895191326365e-01 +6.090281804701513e-04 -4.118891802503878e+01 +1.234993429812039e+03 +2.929895572136694e-01 
+9.124000000000041e+00 +8.729033650935681e-01 +6.119336926138612e-04 -4.109232214193079e+01 +1.234856765686322e+03 +2.929575977111295e-01 
